root_id,flow,class,cell_type,edges_to_epg,targets_hit,conn_sum,signed_sum,positive_signed_sum,negative_signed_sum
720575940624452902,intrinsic,CX,,51,51,956.0,956.0,956.0,0.0
720575940617672226,intrinsic,CX,,51,51,479.0,479.0,479.0,0.0
720575940640749939,intrinsic,CX,,45,45,455.0,455.0,455.0,0.0
720575940628557178,intrinsic,CX,,19,19,419.0,419.0,419.0,0.0
720575940603823462,intrinsic,CX,,20,20,412.0,412.0,412.0,0.0
720575940628866809,intrinsic,CX,,17,17,393.0,393.0,393.0,0.0
720575940642855328,intrinsic,CX,,21,21,392.0,392.0,392.0,0.0
720575940605639858,intrinsic,CX,,16,16,353.0,353.0,353.0,0.0
720575940610249426,intrinsic,CX,,20,20,352.0,352.0,352.0,0.0
720575940620571953,intrinsic,CX,,46,46,342.0,342.0,342.0,0.0
720575940624879678,intrinsic,CX,,22,22,342.0,342.0,342.0,0.0
720575940638847104,intrinsic,CX,,18,18,335.0,335.0,335.0,0.0
720575940636242778,intrinsic,CX,,13,13,312.0,312.0,312.0,0.0
720575940626469909,intrinsic,CX,,18,18,304.0,304.0,304.0,0.0
720575940624594726,intrinsic,CX,,18,18,298.0,298.0,298.0,0.0
720575940624453680,intrinsic,CX,,12,12,286.0,286.0,286.0,0.0
720575940612763158,intrinsic,CX,,12,12,278.0,278.0,278.0,0.0
720575940627653114,intrinsic,CX,,12,12,267.0,267.0,267.0,0.0
720575940626407820,intrinsic,CX,,13,13,252.0,252.0,252.0,0.0
720575940621074835,intrinsic,CX,,18,18,242.0,242.0,242.0,0.0
720575940623388237,intrinsic,CX,,11,11,238.0,238.0,238.0,0.0
720575940610502851,intrinsic,CX,,19,19,230.0,230.0,230.0,0.0
720575940626194428,intrinsic,CX,,18,18,227.0,227.0,227.0,0.0
720575940637644659,intrinsic,CX,,17,17,222.0,222.0,222.0,0.0
720575940632736703,intrinsic,CX,,18,18,218.0,218.0,218.0,0.0
720575940616459333,intrinsic,CX,,12,12,213.0,213.0,213.0,0.0
720575940606123954,intrinsic,CX,,10,10,208.0,208.0,208.0,0.0
720575940622913260,intrinsic,CX,,15,15,206.0,206.0,206.0,0.0
720575940638832512,intrinsic,CX,,12,12,202.0,202.0,202.0,0.0
720575940617828731,intrinsic,CX,,10,10,186.0,186.0,186.0,0.0
720575940619476126,intrinsic,CX,,17,17,179.0,179.0,179.0,0.0
720575940608918830,intrinsic,CX,,11,11,178.0,178.0,178.0,0.0
720575940631372369,intrinsic,CX,,13,13,177.0,177.0,177.0,0.0
720575940622265894,intrinsic,CX,,10,10,172.0,172.0,172.0,0.0
720575940658472065,intrinsic,CX,,11,11,172.0,172.0,172.0,0.0
720575940625407107,intrinsic,CX,,16,16,171.0,171.0,171.0,0.0
720575940638055869,intrinsic,CX,,11,11,171.0,171.0,171.0,0.0
720575940630666404,intrinsic,CX,,11,11,160.0,160.0,160.0,0.0
720575940625415813,intrinsic,CX,,13,13,157.0,157.0,157.0,0.0
720575940615177099,intrinsic,CX,,11,11,150.0,150.0,150.0,0.0
720575940625021796,intrinsic,CX,,11,11,148.0,148.0,148.0,0.0
720575940612920466,intrinsic,CX,,10,10,147.0,147.0,147.0,0.0
720575940635461550,intrinsic,CX,,14,14,140.0,140.0,140.0,0.0
720575940626306321,intrinsic,CX,,11,11,129.0,129.0,129.0,0.0
720575940628843458,intrinsic,CX,,16,16,115.0,115.0,115.0,0.0
720575940631708836,intrinsic,CX,,14,14,106.0,106.0,106.0,0.0
720575940638850512,intrinsic,CX,,12,12,106.0,106.0,106.0,0.0
720575940628493572,intrinsic,CX,,14,14,101.0,101.0,101.0,0.0
720575940643558692,intrinsic,CX,,12,12,100.0,100.0,100.0,0.0
720575940627264062,intrinsic,CX,,39,39,92.0,92.0,92.0,0.0
720575940632844002,intrinsic,CX,,11,11,90.0,90.0,90.0,0.0
720575940627140551,intrinsic,CX,,12,12,89.0,89.0,89.0,0.0
720575940628802041,intrinsic,CX,,21,21,89.0,89.0,89.0,0.0
720575940614926475,intrinsic,CX,,14,14,88.0,88.0,88.0,0.0
720575940613836438,intrinsic,CX,,12,12,87.0,87.0,87.0,0.0
720575940617769851,intrinsic,CX,,8,8,84.0,84.0,84.0,0.0
720575940620282906,intrinsic,CX,,16,16,83.0,83.0,83.0,0.0
720575940623046548,intrinsic,CX,,11,11,83.0,83.0,83.0,0.0
720575940645057828,intrinsic,CX,,36,36,83.0,83.0,83.0,0.0
720575940613829900,intrinsic,CX,,13,13,82.0,82.0,82.0,0.0
720575940630199963,intrinsic,CX,,13,13,82.0,82.0,82.0,0.0
720575940608722371,intrinsic,CX,,12,12,81.0,81.0,81.0,0.0
720575940612937073,intrinsic,CX,,33,33,81.0,81.0,81.0,0.0
720575940621502157,intrinsic,CX,,14,14,81.0,81.0,81.0,0.0
720575940635427982,intrinsic,CX,,11,11,81.0,81.0,81.0,0.0
720575940642634532,intrinsic,CX,,15,15,81.0,81.0,81.0,0.0
720575940631125036,intrinsic,CX,,18,18,80.0,80.0,80.0,0.0
720575940632614295,intrinsic,CX,,11,11,80.0,80.0,80.0,0.0
720575940633538724,intrinsic,CX,,13,13,78.0,78.0,78.0,0.0
720575940609924875,intrinsic,CX,,12,12,77.0,77.0,77.0,0.0
720575940622772137,intrinsic,CX,,16,16,77.0,77.0,77.0,0.0
