tick,time_sec,spike_count_total,epg_spike_count,driver_spike_count,stim_afferent_spike_count,spike_ids
1,0.001000,0,0,0,0,
2,0.002000,0,0,0,0,
3,0.003000,0,0,0,0,
4,0.004000,0,0,0,0,
5,0.005000,0,0,0,0,
6,0.006000,0,0,0,0,
7,0.007000,5,0,0,0,720575940612920466|720575940622913260|720575940626194428|720575940630666404|720575940638832512
8,0.008000,15,0,0,3,720575940609713710|720575940610249426|720575940622416628|720575940623388237|720575940624453680|720575940624594726|720575940625415813|720575940626407820|720575940626469909|720575940627653114|720575940632875746|720575940633538724|720575940637644659|720575940638847104|720575940643558692
9,0.009000,14,0,0,2,720575940603823462|720575940612358642|720575940612763158|720575940617828731|720575940621074835|720575940622265894|720575940622772137|720575940625021796|720575940628557178|720575940628644239|720575940628866809|720575940632736703|720575940636242778|720575940638055869
10,0.010000,7,0,1,2,720575940605639858|720575940615177099|720575940622303446|720575940626306321|720575940631844300|720575940642855328|720575940658472065
11,0.011000,6,0,0,1,720575940606123954|720575940608918830|720575940610502851|720575940616459333|720575940625407107|720575940626768442
12,0.012000,5,0,0,2,720575940619476126|720575940623302988|720575940623758377|720575940624879678|720575940631372369
13,0.013000,0,0,0,0,
14,0.014000,3,0,0,0,720575940622913260|720575940626194428|720575940630666404
15,0.015000,3,0,0,0,720575940623388237|720575940638847104|720575940643558692
16,0.016000,8,0,0,4,720575940612358642|720575940622416628|720575940624594726|720575940625021796|720575940625415813|720575940628644239|720575940632875746|720575940636242778
17,0.017000,6,0,0,0,720575940617828731|720575940622265894|720575940624453680|720575940626407820|720575940626469909|720575940638832512
18,0.018000,13,0,0,1,720575940605639858|720575940606123954|720575940610249426|720575940612763158|720575940612920466|720575940616459333|720575940622303446|720575940626306321|720575940627653114|720575940633538724|720575940637644659|720575940638055869|720575940658472065
19,0.019000,4,0,0,1,720575940603823462|720575940628866809|720575940631844300|720575940632736703
20,0.020000,7,0,1,0,720575940615177099|720575940622772137|720575940624879678|720575940625407107|720575940628557178|720575940631372369|720575940642855328
21,0.021000,4,0,0,2,720575940619476126|720575940621074835|720575940623758377|720575940626768442
22,0.022000,8,0,0,2,720575940608918830|720575940609713710|720575940610502851|720575940619007296|720575940621381236|720575940623302988|720575940630666404|720575940643558692
23,0.023000,7,0,1,1,720575940622416628|720575940622913260|720575940623388237|720575940625653223|720575940626194428|720575940626806026|720575940641997531
24,0.024000,9,0,1,1,720575940612358642|720575940615032495|720575940617828731|720575940622265894|720575940624323475|720575940624594726|720575940626469909|720575940629902206|720575940636242778
25,0.025000,17,1,0,2,720575940612920466|720575940615457938|720575940623973837|720575940625021796|720575940625415813|720575940625827358|720575940625968115|720575940626407820|720575940626530456|720575940628644239|720575940628843458|720575940629459441|720575940632875746|720575940638055869|720575940638832512|720575940638847104|720575940658472065
26,0.026000,11,0,0,0,720575940606123954|720575940612763158|720575940616459333|720575940617244347|720575940623718119|720575940624453680|720575940626306321|720575940627653114|720575940631848791|720575940633538724|720575940637644659
27,0.027000,6,2,0,1,720575940605639858|720575940622303446|720575940624879678|720575940627140551|720575940642634532|720575940644765463
28,0.028000,12,0,1,1,720575940603823462|720575940610249426|720575940615177099|720575940619476126|720575940623260201|720575940625407107|720575940626010554|720575940628557178|720575940631372369|720575940631844300|720575940632736703|720575940642855328
29,0.029000,7,2,0,1,720575940610453427|720575940613836438|720575940615612066|720575940621074835|720575940623758377|720575940628866809|720575940635978926
30,0.030000,7,5,0,2,720575940609713710|720575940619296365|720575940623302988|720575940628802041|720575940631125036|720575940635461550|720575940636730694
31,0.031000,12,1,1,2,720575940608918830|720575940611964882|720575940612358642|720575940613690730|720575940619845547|720575940620027515|720575940623388237|720575940626768442|720575940630666404|720575940638850512|720575940643558692|720575940645909300
32,0.032000,12,5,0,0,720575940604801993|720575940613829900|720575940617828731|720575940620020694|720575940622265894|720575940622772137|720575940625351354|720575940626194428|720575940626469909|720575940632844002|720575940633145903|720575940636242778
