tick,time_sec,epg_spike_count,epg_spike_ids
1,0.001000,0,
2,0.002000,0,
3,0.003000,0,
4,0.004000,0,
5,0.005000,0,
6,0.006000,0,
7,0.007000,0,
8,0.008000,0,
9,0.009000,0,
10,0.010000,0,
11,0.011000,0,
12,0.012000,0,
13,0.013000,0,
14,0.014000,0,
15,0.015000,0,
16,0.016000,0,
17,0.017000,0,
18,0.018000,0,
19,0.019000,0,
20,0.020000,0,
21,0.021000,0,
22,0.022000,0,
23,0.023000,0,
24,0.024000,0,
25,0.025000,0,
26,0.026000,0,
27,0.027000,0,
28,0.028000,0,
29,0.029000,0,
30,0.030000,0,
31,0.031000,0,
32,0.032000,0,
33,0.033000,0,
34,0.034000,1,720575940628843458
35,0.035000,1,720575940642634532
36,0.036000,0,
37,0.037000,2,720575940610453427|720575940627140551
38,0.038000,0,
39,0.039000,0,
40,0.040000,0,
41,0.041000,2,720575940613836438|720575940628802041
42,0.042000,0,
43,0.043000,0,
44,0.044000,0,
45,0.045000,0,
46,0.046000,0,
47,0.047000,0,
48,0.048000,0,
49,0.049000,0,
50,0.050000,0,
51,0.051000,0,
52,0.052000,0,
53,0.053000,1,720575940613829900
54,0.054000,0,
55,0.055000,0,
56,0.056000,0,
57,0.057000,0,
58,0.058000,0,
59,0.059000,1,720575940631708836
60,0.060000,1,720575940636730694
61,0.061000,2,720575940619296365|720575940632844002
62,0.062000,2,720575940604801993|720575940631125036
63,0.063000,0,
64,0.064000,3,720575940620282906|720575940633719487|720575940638850512
65,0.065000,4,720575940616569601|720575940623046548|720575940625351354|720575940635461550
66,0.066000,3,720575940608722371|720575940628843458|720575940630199963
67,0.067000,0,
68,0.068000,0,
69,0.069000,0,
70,0.070000,1,720575940627140551
71,0.071000,0,
72,0.072000,0,
73,0.073000,0,
74,0.074000,0,
75,0.075000,0,
76,0.076000,0,
77,0.077000,0,
78,0.078000,0,
79,0.079000,0,
80,0.080000,0,
81,0.081000,0,
82,0.082000,0,
83,0.083000,0,
84,0.084000,0,
85,0.085000,0,
86,0.086000,0,
87,0.087000,0,
88,0.088000,0,
89,0.089000,0,
90,0.090000,0,
91,0.091000,0,
92,0.092000,0,
93,0.093000,0,
94,0.094000,0,
95,0.095000,1,720575940642634532
96,0.096000,0,
97,0.097000,1,720575940610453427
98,0.098000,0,
99,0.099000,0,
100,0.100000,0,
101,0.101000,1,720575940628843458
102,0.102000,2,720575940613836438|720575940628802041
103,0.103000,1,720575940620020694
104,0.104000,0,
105,0.105000,0,
106,0.106000,1,720575940613829900
107,0.107000,0,
108,0.108000,0,
109,0.109000,1,720575940627140551
110,0.110000,0,
111,0.111000,0,
112,0.112000,0,
113,0.113000,0,
114,0.114000,0,
115,0.115000,0,
116,0.116000,0,
117,0.117000,0,
118,0.118000,0,
119,0.119000,0,
120,0.120000,0,
121,0.121000,0,
122,0.122000,0,
123,0.123000,0,
124,0.124000,1,720575940619296365
125,0.125000,1,720575940631125036
126,0.126000,1,720575940632844002
127,0.127000,0,
128,0.128000,2,720575940636730694|720575940638850512
129,0.129000,1,720575940604801993
130,0.130000,2,720575940623046548|720575940625351354
131,0.131000,1,720575940631708836
132,0.132000,0,
133,0.133000,0,
134,0.134000,0,
135,0.135000,0,
136,0.136000,0,
137,0.137000,0,
138,0.138000,0,
139,0.139000,0,
140,0.140000,0,
141,0.141000,0,
142,0.142000,1,720575940627140551
143,0.143000,0,
144,0.144000,1,720575940642634532
145,0.145000,0,
146,0.146000,0,
147,0.147000,1,720575940628843458
148,0.148000,0,
149,0.149000,1,720575940610453427
150,0.150000,0,
151,0.151000,0,
152,0.152000,0,
153,0.153000,0,
154,0.154000,0,
155,0.155000,0,
156,0.156000,0,
157,0.157000,0,
158,0.158000,0,
159,0.159000,0,
160,0.160000,0,
161,0.161000,0,
162,0.162000,0,
163,0.163000,0,
164,0.164000,0,
165,0.165000,0,
166,0.166000,0,
167,0.167000,0,
168,0.168000,0,
169,0.169000,1,720575940628802041
170,0.170000,0,
171,0.171000,0,
172,0.172000,1,720575940613836438
173,0.173000,1,720575940613829900
174,0.174000,1,720575940633719487
175,0.175000,0,
176,0.176000,0,
177,0.177000,0,
178,0.178000,1,720575940620282906
179,0.179000,0,
180,0.180000,2,720575940620020694|720575940627140551
181,0.181000,1,720575940638850512
182,0.182000,0,
183,0.183000,0,
184,0.184000,0,
185,0.185000,1,720575940628843458
186,0.186000,0,
187,0.187000,0,
188,0.188000,0,
189,0.189000,0,
190,0.190000,0,
191,0.191000,0,
192,0.192000,1,720575940642634532
193,0.193000,0,
194,0.194000,2,720575940610453427|720575940636730694
195,0.195000,0,
196,0.196000,0,
197,0.197000,0,
198,0.198000,3,720575940619296365|720575940631125036|720575940632844002
199,0.199000,0,
200,0.200000,0,
201,0.201000,0,
202,0.202000,0,
203,0.203000,0,
204,0.204000,0,
205,0.205000,0,
206,0.206000,0,
207,0.207000,0,
208,0.208000,0,
209,0.209000,0,
210,0.210000,0,
211,0.211000,0,
212,0.212000,0,
213,0.213000,0,
214,0.214000,0,
215,0.215000,0,
216,0.216000,0,
217,0.217000,0,
218,0.218000,0,
219,0.219000,0,
220,0.220000,0,
221,0.221000,1,720575940628843458
222,0.222000,1,720575940627140551
223,0.223000,0,
224,0.224000,0,
225,0.225000,0,
226,0.226000,1,720575940625351354
227,0.227000,0,
228,0.228000,1,720575940628802041
229,0.229000,2,720575940613836438|720575940631708836
230,0.230000,0,
231,0.231000,0,
232,0.232000,0,
233,0.233000,1,720575940623046548
234,0.234000,0,
235,0.235000,0,
236,0.236000,0,
237,0.237000,0,
238,0.238000,0,
239,0.239000,0,
240,0.240000,1,720575940613829900
241,0.241000,0,
242,0.242000,0,
243,0.243000,0,
244,0.244000,0,
245,0.245000,1,720575940642634532
246,0.246000,0,
247,0.247000,0,
248,0.248000,0,
249,0.249000,0,
250,0.250000,1,720575940610453427
251,0.251000,0,
252,0.252000,0,
253,0.253000,0,
254,0.254000,0,
255,0.255000,0,
256,0.256000,0,
257,0.257000,1,720575940619296365
258,0.258000,0,
259,0.259000,1,720575940636730694
260,0.260000,0,
261,0.261000,0,
262,0.262000,1,720575940638850512
263,0.263000,1,720575940627140551
264,0.264000,1,720575940628843458
265,0.265000,0,
266,0.266000,1,720575940632844002
267,0.267000,0,
268,0.268000,1,720575940631125036
269,0.269000,0,
270,0.270000,0,
271,0.271000,0,
272,0.272000,0,
273,0.273000,0,
274,0.274000,0,
275,0.275000,0,
276,0.276000,0,
