tick,phase,time_sec,epg_spike_count,epg_spike_ids
1,learn,0.001000,0,
2,learn,0.002000,0,
3,learn,0.003000,0,
4,learn,0.004000,0,
5,learn,0.005000,0,
6,learn,0.006000,0,
7,learn,0.007000,0,
8,learn,0.008000,0,
9,learn,0.009000,0,
10,learn,0.010000,0,
11,learn,0.011000,0,
12,learn,0.012000,0,
13,learn,0.013000,0,
14,learn,0.014000,0,
15,learn,0.015000,0,
16,learn,0.016000,0,
17,learn,0.017000,0,
18,learn,0.018000,0,
19,learn,0.019000,0,
20,learn,0.020000,0,
21,learn,0.021000,0,
22,learn,0.022000,0,
23,learn,0.023000,0,
24,learn,0.024000,0,
25,learn,0.025000,0,
26,learn,0.026000,0,
27,learn,0.027000,0,
28,learn,0.028000,0,
29,learn,0.029000,0,
30,learn,0.030000,0,
31,learn,0.031000,0,
32,learn,0.032000,0,
33,learn,0.033000,0,
34,learn,0.034000,0,
35,learn,0.035000,0,
36,learn,0.036000,0,
37,learn,0.037000,0,
38,learn,0.038000,0,
39,learn,0.039000,0,
40,learn,0.040000,0,
41,learn,0.041000,0,
42,learn,0.042000,0,
43,learn,0.043000,0,
44,learn,0.044000,0,
45,learn,0.045000,0,
46,learn,0.046000,0,
47,learn,0.047000,0,
48,learn,0.048000,0,
49,learn,0.049000,0,
50,learn,0.050000,0,
51,learn,0.051000,0,
52,learn,0.052000,0,
53,learn,0.053000,0,
54,learn,0.054000,0,
55,learn,0.055000,0,
56,learn,0.056000,0,
57,learn,0.057000,0,
58,learn,0.058000,0,
59,learn,0.059000,0,
60,learn,0.060000,0,
61,learn,0.061000,0,
62,learn,0.062000,0,
63,learn,0.063000,0,
64,learn,0.064000,0,
65,learn,0.065000,0,
66,learn,0.066000,0,
67,learn,0.067000,1,720575940627140551
68,learn,0.068000,0,
69,learn,0.069000,1,720575940628843458
70,learn,0.070000,0,
71,learn,0.071000,1,720575940642634532
72,learn,0.072000,0,
73,learn,0.073000,0,
74,learn,0.074000,0,
75,learn,0.075000,0,
76,learn,0.076000,0,
77,learn,0.077000,0,
78,learn,0.078000,0,
79,learn,0.079000,0,
80,learn,0.080000,0,
81,learn,0.081000,0,
82,learn,0.082000,0,
83,learn,0.083000,0,
84,learn,0.084000,0,
85,learn,0.085000,0,
86,learn,0.086000,0,
87,learn,0.087000,0,
88,learn,0.088000,0,
89,learn,0.089000,0,
90,learn,0.090000,0,
91,learn,0.091000,0,
92,learn,0.092000,0,
93,learn,0.093000,0,
94,learn,0.094000,0,
95,learn,0.095000,0,
96,learn,0.096000,0,
97,learn,0.097000,0,
98,learn,0.098000,0,
99,learn,0.099000,0,
100,learn,0.100000,0,
101,learn,0.101000,0,
102,learn,0.102000,0,
103,learn,0.103000,0,
104,learn,0.104000,0,
105,learn,0.105000,0,
106,learn,0.106000,0,
107,learn,0.107000,0,
108,learn,0.108000,0,
109,learn,0.109000,0,
110,learn,0.110000,0,
111,learn,0.111000,0,
112,learn,0.112000,0,
113,learn,0.113000,0,
114,learn,0.114000,0,
115,learn,0.115000,0,
116,learn,0.116000,0,
117,learn,0.117000,0,
118,learn,0.118000,0,
119,learn,0.119000,0,
120,learn,0.120000,0,
121,learn,0.121000,0,
122,learn,0.122000,0,
123,learn,0.123000,0,
124,learn,0.124000,0,
125,learn,0.125000,0,
126,learn,0.126000,0,
127,learn,0.127000,0,
128,learn,0.128000,0,
129,learn,0.129000,0,
130,learn,0.130000,0,
131,learn,0.131000,0,
132,learn,0.132000,0,
133,learn,0.133000,0,
134,learn,0.134000,0,
135,learn,0.135000,0,
136,learn,0.136000,0,
137,learn,0.137000,0,
138,learn,0.138000,0,
139,learn,0.139000,0,
140,learn,0.140000,0,
141,learn,0.141000,0,
142,learn,0.142000,0,
143,learn,0.143000,0,
144,learn,0.144000,0,
145,learn,0.145000,0,
146,learn,0.146000,0,
147,learn,0.147000,0,
148,learn,0.148000,0,
149,learn,0.149000,0,
150,learn,0.150000,0,
151,learn,0.151000,0,
152,learn,0.152000,0,
153,learn,0.153000,0,
154,learn,0.154000,0,
155,learn,0.155000,0,
156,learn,0.156000,0,
157,learn,0.157000,0,
158,learn,0.158000,0,
159,learn,0.159000,0,
160,learn,0.160000,0,
161,learn,0.161000,0,
162,learn,0.162000,0,
163,learn,0.163000,0,
164,learn,0.164000,0,
165,learn,0.165000,0,
166,learn,0.166000,0,
167,learn,0.167000,0,
168,learn,0.168000,0,
169,learn,0.169000,0,
170,learn,0.170000,0,
171,learn,0.171000,0,
172,learn,0.172000,0,
173,learn,0.173000,0,
174,learn,0.174000,0,
175,learn,0.175000,0,
176,learn,0.176000,1,720575940642634532
177,learn,0.177000,1,720575940627140551
178,learn,0.178000,0,
179,learn,0.179000,0,
180,learn,0.180000,0,
181,learn,0.181000,0,
182,learn,0.182000,0,
183,learn,0.183000,0,
184,learn,0.184000,0,
185,learn,0.185000,0,
186,learn,0.186000,0,
187,learn,0.187000,0,
188,learn,0.188000,0,
189,learn,0.189000,0,
190,learn,0.190000,0,
191,learn,0.191000,0,
192,learn,0.192000,0,
193,learn,0.193000,0,
194,learn,0.194000,0,
195,learn,0.195000,0,
196,learn,0.196000,0,
197,learn,0.197000,0,
