"neuron_id","group","mapping_label","processed_label","hemibrain_type","hemilineage","side","x","y","z"
"720575940605827761","EPG","","L4","EPG","DM2_CX_d2","left","500264.000","105816.000","157200.000"
"720575940610453427","EPG","","L3","EPG","DM2_CX_d1","left","502668.000","103448.000","148240.000"
"720575940610901930","EPG","","L6","EPG","DM3_CX_d2","left","486324.000","115808.000","186440.000"
"720575940614926475","EPG","","L7","EPG","DM4_CX_d1","left","470376.000","170564.000","216800.000"
"720575940617769851","EPG","","L2","EPG","DM1_CX_d2","left","511848.000","114172.000","159040.000"
"720575940618612952","EPG","","L6","EPG","DM3_CX_d2","left","494948.000","109512.000","168120.000"
"720575940619296365","EPG","","L5","EPG","DM3_CX_d1","left","493356.000","113036.000","170240.000"
"720575940620282906","EPG","","L7","EPG","DM4_CX_d1","left","478484.000","167988.000","215760.000"
"720575940623046548","EPG","","L4","EPG","DM2_CX_d2","left","507196.000","111844.000","159520.000"
"720575940623852873","EPG","","L8","EPG","DM4_CX_d2","left","470052.000","180336.000","227120.000"
"720575940624096234","EPG","","L8","EPG","DM4_CX_d2","left","471476.000","174176.000","190840.000"
"720575940624784280","EPG","","L4","EPG","DM2_CX_d2","left","503820.000","109216.000","159200.000"
"720575940625351354","EPG","","L3","EPG","DM2_CX_d1","left","513048.000","148940.000","164440.000"
"720575940626137895","EPG","","L5","EPG","DM3_CX_d1","left","496536.000","164064.000","156160.000"
"720575940626315207","EPG","","L7","EPG","DM4_CX_d1","left","471448.000","157880.000","187320.000"
"720575940628802041","EPG","","L7","EPG","DM4_CX_d1","left","478076.000","166520.000","219760.000"
"720575940629691753","EPG","","L1","EPG","DM1_CX_d2","left","520256.000","100156.000","136320.000"
"720575940632614295","EPG","","L5","EPG","DM3_CX_d1","left","475412.000","146708.000","206160.000"
"720575940633719487","EPG","","L8","EPG","DM4_CX_d2","left","473720.000","177264.000","224680.000"
"720575940635427982","EPG","","L8","EPG","DM4_CX_d2","left","476944.000","184432.000","181960.000"
"720575940635461550","EPG","","L1","EPG","DM1_CX_d2","left","522340.000","115132.000","145880.000"
"720575940638850512","EPG","","L3","EPG","DM2_CX_d1","left","499392.000","111560.000","163680.000"
"720575940642634532","EPG","","L2","EPG","DM1_CX_d2","left","518200.000","109740.000","140800.000"
"720575940658101889","EPG","","L6","EPG","DM3_CX_d2","left","477724.000","136168.000","202080.000"
"720575940604801993","EPG","","R5","EPG","DM3_CX_d1","right","568788.000","108956.000","160960.000"
"720575940608722371","EPG","","R2","EPG","DM1_CX_d2","right","527588.000","100840.000","131560.000"
"720575940611216099","EPG","","R6","EPG","DM3_CX_d2","right","570628.000","111144.000","164480.000"
"720575940613829900","EPG","","R2","EPG","DM1_CX_d2","right","525364.000","98524.000","128600.000"
"720575940613836438","EPG","","R3","EPG","DM2_CX_d1","right","545408.000","100488.000","136040.000"
"720575940614297640","EPG","","R4","EPG","DM2_CX_d2","right","514672.000","167084.000","113640.000"
"720575940616502066","EPG","","R8","EPG","DM4_CX_d2","right","592804.000","183116.000","184400.000"
"720575940616569601","EPG","","R8","EPG","DM4_CX_d2","right","596828.000","179556.000","213880.000"
"720575940619006272","EPG","","R4","EPG","DM2_CX_d2","right","512260.000","170184.000","113600.000"
"720575940620020694","EPG","","R7","EPG","DM4_CX_d1","right","597488.000","163792.000","212240.000"
"720575940620664741","EPG","","R6","EPG","DM3_CX_d2","right","583672.000","150524.000","176240.000"
"720575940622364771","EPG","","R6","EPG","DM3_CX_d2","right","540040.000","164320.000","120280.000"
"720575940626449082","EPG","","R4","EPG","DM2_CX_d2","right","556708.000","98164.000","136880.000"
"720575940626721835","EPG","","R8","EPG","DM4_CX_d2","right","600600.000","182348.000","212200.000"
"720575940627140551","EPG","","R5","EPG","DM3_CX_d1","right","570280.000","115856.000","163560.000"
"720575940628493572","EPG","","R7","EPG","DM4_CX_d1","right","601648.000","165132.000","212680.000"
"720575940628843458","EPG","","R1","EPG","DM1_CX_d2","right","530996.000","96456.000","126600.000"
"720575940630199963","EPG","","R3","EPG","DM2_CX_d1","right","565308.000","142096.000","163720.000"
"720575940631125036","EPG","","R1","EPG","DM1_CX_d2","right","522956.000","93116.000","120000.000"
"720575940631708836","EPG","","R3","EPG","DM2_CX_d1","right","550916.000","150120.000","162440.000"
"720575940632844002","EPG","","R5","EPG","DM3_CX_d1","right","575576.000","148776.000","164760.000"
"720575940636730694","EPG","","R7","EPG","DM4_CX_d1","right","596624.000","157496.000","208560.000"
"720575940660921985","EPG","","R8","EPG","DM4_CX_d3","right","595168.000","182196.000","214840.000"
"720575940605639858","PEN_a","L1","","PEN_a(PEN1)","DM2_CX_v","left","506624.000","140752.000","192160.000"
"720575940642855328","PEN_a","L10","","PEN_a(PEN1)","DM4_CX_v","left","499948.000","236424.000","207040.000"
"720575940621074835","PEN_a","L2","","PEN_a(PEN1)","DM3_CX_p","left","476232.000","154436.000","218800.000"
"720575940622772137","PEN_a","L3","","PEN_a(PEN1)","DM4_CX_p","left","483820.000","170920.000","190800.000"
"720575940622913260","PEN_a","L4","","PEN_a(PEN1)","DM2_CX_v","left","501296.000","112708.000","159200.000"
"720575940624879678","PEN_a","L5","","PEN_a(PEN1)","DM1_CX_p","left","511972.000","133268.000","178560.000"
"720575940625407107","PEN_a","L6","","PEN_a(PEN1)","DM3_CX_p","left","475336.000","158088.000","218800.000"
"720575940626194428","PEN_a","L7","","PEN_a(PEN1)","DM2_CX_v","left","501108.000","110276.000","156120.000"
"720575940626469909","PEN_a","L8","","PEN_a(PEN1)","DM3_CX_v","left","486864.000","129576.000","193120.000"
"720575940628866809","PEN_a","L9","","PEN_a(PEN1)","DM1_CX_v","left","516324.000","111512.000","151120.000"
"720575940603823462","PEN_a","R1","","PEN_a(PEN1)","DM4_CX_p","right","570804.000","167872.000","198920.000"
"720575940638847104","PEN_a","R10","","PEN_a(PEN1)","DM1_CX_p","right","541884.000","98812.000","134480.000"
"720575940610249426","PEN_a","R2","","PEN_a(PEN1)","DM3_CX_v","right","558936.000","134372.000","175120.000"
"720575940610502851","PEN_a","R3","","PEN_a(PEN1)","DM2_CX_v","right","560852.000","100568.000","147960.000"
"720575940619476126","PEN_a","R4","","PEN_a(PEN1)","DM3_CX_p","right","529644.000","190156.000","137800.000"
"720575940624594726","PEN_a","R5","","PEN_a(PEN1)","DM2_CX_v","right","548224.000","104772.000","144240.000"
"720575940628557178","PEN_a","R6","","PEN_a(PEN1)","DM1_CX_v","right","547440.000","113576.000","155600.000"
"720575940632736703","PEN_a","R7","","PEN_a(PEN1)","DM3_CX_p","right","572712.000","114948.000","169320.000"
"720575940633538724","PEN_a","R8","","PEN_a(PEN1)","DM4_CX_v","right","581436.000","186040.000","184840.000"
"720575940637644659","PEN_a","R9","","PEN_a(PEN1)","DM2_CX_v","right","564460.000","110624.000","155880.000"
