"neuron_id","mapping_label","pen_label","hemilineage","side","hemibrain_type","x","y","z"
"720575940605639858","L1","PEN1","DM2_CX_v","left","PEN_a(PEN1)","506624.000","140752.000","192160.000"
"720575940621074835","L2","PEN1","DM3_CX_p","left","PEN_a(PEN1)","476232.000","154436.000","218800.000"
"720575940622772137","L3","PEN1","DM4_CX_p","left","PEN_a(PEN1)","483820.000","170920.000","190800.000"
"720575940622913260","L4","PEN1","DM2_CX_v","left","PEN_a(PEN1)","501296.000","112708.000","159200.000"
"720575940624879678","L5","PEN1","DM1_CX_p","left","PEN_a(PEN1)","511972.000","133268.000","178560.000"
"720575940625407107","L6","PEN1","DM3_CX_p","left","PEN_a(PEN1)","475336.000","158088.000","218800.000"
"720575940626194428","L7","PEN1","DM2_CX_v","left","PEN_a(PEN1)","501108.000","110276.000","156120.000"
"720575940626469909","L8","PEN1","DM3_CX_v","left","PEN_a(PEN1)","486864.000","129576.000","193120.000"
"720575940628866809","L9","PEN1","DM1_CX_v","left","PEN_a(PEN1)","516324.000","111512.000","151120.000"
"720575940642855328","L10","PEN1","DM4_CX_v","left","PEN_a(PEN1)","499948.000","236424.000","207040.000"
"720575940603823462","R1","PEN1","DM4_CX_p","right","PEN_a(PEN1)","570804.000","167872.000","198920.000"
"720575940610249426","R2","PEN1","DM3_CX_v","right","PEN_a(PEN1)","558936.000","134372.000","175120.000"
"720575940610502851","R3","PEN1","DM2_CX_v","right","PEN_a(PEN1)","560852.000","100568.000","147960.000"
"720575940619476126","R4","PEN1","DM3_CX_p","right","PEN_a(PEN1)","529644.000","190156.000","137800.000"
"720575940624594726","R5","PEN1","DM2_CX_v","right","PEN_a(PEN1)","548224.000","104772.000","144240.000"
"720575940628557178","R6","PEN1","DM1_CX_v","right","PEN_a(PEN1)","547440.000","113576.000","155600.000"
"720575940632736703","R7","PEN1","DM3_CX_p","right","PEN_a(PEN1)","572712.000","114948.000","169320.000"
"720575940633538724","R8","PEN1","DM4_CX_v","right","PEN_a(PEN1)","581436.000","186040.000","184840.000"
"720575940637644659","R9","PEN1","DM2_CX_v","right","PEN_a(PEN1)","564460.000","110624.000","155880.000"
"720575940638847104","R10","PEN1","DM1_CX_p","right","PEN_a(PEN1)","541884.000","98812.000","134480.000"
