root_id,processed_label,side,bin_number
720575940602917088,L1,left,1
720575940619905404,L1,left,1
720575940629691753,L1,left,1
720575940635461550,L1,left,1
720575940617769851,L2,left,2
720575940642634532,L2,left,2
720575940610453427,L3,left,3
720575940625351354,L3,left,3
720575940638850512,L3,left,3
720575940605827761,L4,left,4
720575940623046548,L4,left,4
720575940624784280,L4,left,4
720575940619296365,L5,left,5
720575940626137895,L5,left,5
720575940632614295,L5,left,5
720575940610901930,L6,left,6
720575940618612952,L6,left,6
720575940658101889,L6,left,6
720575940614926475,L7,left,7
720575940620282906,L7,left,7
720575940626315207,L7,left,7
720575940628802041,L7,left,7
720575940623852873,L8,left,8
720575940624096234,L8,left,8
720575940633719487,L8,left,8
720575940635427982,L8,left,8
720575940620419354,R1,right,1
720575940620776662,R1,right,1
720575940628843458,R1,right,1
720575940631125036,R1,right,1
720575940608722371,R2,right,2
720575940613829900,R2,right,2
720575940613836438,R3,right,3
720575940630199963,R3,right,3
720575940631708836,R3,right,3
720575940614297640,R4,right,4
720575940619006272,R4,right,4
720575940626449082,R4,right,4
720575940604801993,R5,right,5
720575940627140551,R5,right,5
720575940632844002,R5,right,5
720575940611216099,R6,right,6
720575940620664741,R6,right,6
720575940622364771,R6,right,6
720575940620020694,R7,right,7
720575940628493572,R7,right,7
720575940636730694,R7,right,7
720575940616502066,R8,right,8
720575940616569601,R8,right,8
720575940626721835,R8,right,8
720575940660921985,R8,right,8
